motif_id,keep_in_filtered
m109,False
m109a,False
m109a1,True
m109b,True
m109c,True
m109d,True
m110,True
m111,False
m112,False
m112a,True
m112b,True
m113,False
m113a,True
m114,False
m114a,False
m114b,False
m114b1,False
m114c,False
m114d,True
m114d1,True
m114e,False
m114f,True
m114g,False
m114h,True
m114i,False
m114j,True
m114k,True
m115,True
m116,False
m116a,False
m116b,True
m117,True
m118,False
m118a,False
m118b,False
m119,True
m11a,True
m11b,True
m11c,True
m12,True
m120,True
m120a,True
m120b,True
m120c,True
m121,True
m122,True
m123,False
m123a,True
m123b,False
m123c,False
m123d,True
m124,True
m125,True
m126,True
m127,True
m127a,True
m127b,True
m127c,True
m128,True
m129,True
m13,False
m130,True
m130a,True
m130b,True
m130c,True
m131,True
m132,True
m132a,True
m133,True
m134,False
m134a,True
m134b,True
m134c,True
m135,False
m135a,False
m136,False
m136a,True
m136b,True
m136c,True
m136d,True
m137,True
m138,True
m139,True
m13a,False
m140,False
m140a,True
m140b,True
m141,True
m141a,True
m141b,True
m142,True
m143,True
m144,True
m144a,True
m145,True
m146,True
m147,True
m147a,False
m147b,True
m148,False
m149,True
m149a,True
m149b,True
m14a,True
m15,True
m150,True
m151,True
m152,False
m152a,False
m152b,True
m152c,True
m152d,True
m153,False
m153a,True
m153b,False
m154,True
m154a,True
m154b,True
m155,True
m156,False
m157,False
m157a1,False
m157a2,False
m157a3,False
m157a4,False
m157a5,True
m157b,False
m157c,True
m158,True
m159,True
m16,True
m160,False
m161,False
m162,False
m162a,True
m162b,True
m163,True
m164,True
m164a,True
m165,True
m166,True
m167,False
m167a,True
m168,True
m168a,True
m168b,True
m169,True
m16a,True
m17,True
m170,True
m170a,True
m171,True
m171a,True
m171b,False
m171c,True
m171d,True
m172,True
m173,True
m173a,True
m174,False
m175,True
m176,True
m177,True
m178,False
m179,False
m179a,False
m179b,True
m18,True
m180,True
m180a,True
m181,True
m181a,False
m181b,True
m182,True
m182a,True
m182a1,True
m182b,True
m183,True
m184,True
m185,True
m185a,True
m186,True
m187,True
m188,True
m188a,True
m189,True
m18a,True
m18b,True
m19,False
m190,True
m191,True
m191a,True
m192,False
m192a,True
m193,True
m194,True
m195,False
m195a,False
m195b,True
m196,True
m196a,True
m197,False
m197a,True
m197b,True
m197c,True
m197d,True
m197e,True
m197f,True
m198,False
m198a,False
m198a1,False
m198a2,True
m198a3,True
m198a4,True
m198b,True
m198b1,True
m198b2,True
m198b3,True
m199,False
m199a,False
m199b,True
m199c,True
m199c1,False
m199d,True
m199d1,True
m199e,True
m199f,True
m199g1,True
m199g2,True
m199h,True
m199i,False
m199j,True
m1a,True
m1b,True
m2,True
m20,True
m21,False
m21a,True
m22,False
m22a,True
m23,False
m23a,True
m24,False
m24a,True
m25,True
m26,True
m26a,True
m27,True
m28,True
m29a,False
m29b,False
m29b1,True
m29b2,False
m29c,False
m29d,True
m29f,True
m29g,False
m29g1,True
m29gg,True
m29h,True
m29i,True
m29j,False
m29k,False
m29l,True
m29m,True
m29n,True
m29nn,True
m29o,True
m29p,True
m29q,True
m29qq,True
m29r,True
m29u,True
m29v,True
m29w,True
m29w1,True
m29w2,True
m29w3,True
m29x,True
m29x1,True
m29y,True
m3,True
m30,False
m30a,True
m30b,True
m30c,False
m30d,False
m31,False
m32,True
m32a,False
m33,True
m34,True
m35,True
m36,False
m37,True
m38,False
m38a,False
m38a1,True
m38b,True
m38b1,True
m38b2,False
m38c,True
m38d,True
m38d1,True
m38d2,True
m38d3,True
m38d4,True
m38d5,True
m38d6,True
m38e,True
m39a,False
m39a1,True
m39a2,True
m39a3,True
m39a3a,True
m39a4,True
m39a4a,False
m39a4b,False
m39a5,True
m39a5a,False
m39a5a1,True
m39a5b,True
m39a6,False
m39a6a,False
m39a6b,True
m39a6c,True
m39a6d,False
m39a6f,False
m39a6g,True
m39a6h,False
m39a6i,True
m39b,False
m39b1,False
m39c,True
m39d,True
m39e,True
m39e1,True
m39e1a,True
m39e2,True
m39f,True
m39g,True
m39h,True
m39i,False
m3a,True
m4,False
m40,False
m41,True
m42,False
m42a,False
m42b,True
m42c,True
m43,False
m44a,True
m44b,True
m44c,True
m45,True
m45a,False
m46a,False
m46b,True
m46c,True
m46d,True
m47,True
m48,True
m49,False
m49a,False
m5,False
m50,True
m51,True
m52,True
m53,False
m53a,True
m53b,False
m53c,False
m53d,True
m53e,True
m53f,True
m54,False
m55,True
m56a,True
m56b,True
m56c,True
m56d,True
m57a,False
m57b,True
m57c,False
m57d,False
m57d1,True
m57d2,True
m57d3,True
m57d4,False
m58,True
m59,True
m59a,True
m5a,False
m6,True
m60,False
m60a,False
m60a1,False
m60a2,False
m60b,False
m61a,True
m61a1,True
m61a2,True
m61a3,True
m62b,False
m62c,True
m62d,False
m62e,True
m62f,True
m63,True
m64,True
m65,False
m65a,False
m65b,False
m66,False
m67,True
m68,False
