word,hypernym
prayer,religious person
precipitations,weather
prediction,reasoning
presents,time
primogeniture,inheritance
prince,aristocrat
prisoner,unfortunate
problems,difficulty
projectile,weapon
property,possession
pulls,force
puma,wildcat
pumpkin,squash
puppy,dog
push,force
pushes,force
quarrel,dispute
queen,insect
question,questioning
rabbit,leporid
ram,sheep
rams,sheep
rapids,waterway
rat,rodent
raven,corvine bird
raw,nakedness
reaction,force
regrets,acknowledgment
relation,person
relations,person
release,merchandise
resin,organic compound
revenge,return
reverse,opposition
rhea,ratite
rich,people
riddle,problem
riddles,problem
ride,journey
rider,traveler
rime,ice
ring,sound
rise,slope
rises,slope
rituals,custom
rival,contestant
roasting,cooking
robber,thief
rolls,rotation
root,plant organ
roots,plant organ
rose,shrub
round,ammunition
runs,score
rushes,marsh plant
saves,prevention
savior,benefactor
scales,leaf
scissors,compound lever
season,time period
seasons,time period
seed,fruit
sell,sale
sells,sale
separate,article
serve,tennis stroke
setting,environment
seven,digit
shadow,shade
shafts,light
shakes,building material
shaman,priest
shell,scute
shepherd,clergyman
ship,vessel
shoes,situation
shore,geological formation
shot,expert
shoulder,body part
siblings,relative
sight,visual percept
silence,condition
sinks,natural depression
sitter,hen
sitting,motion
skill,ability
skunk,musteline mammal
slave,person
sleigh,vehicle
smear,cytologic specimen
smith,Smith
snail,gastropod
snakes,diapsid
soil,dirtiness
soles,colloid
songs,musical composition
sons,male offspring
sound,mechanical phenomenon
sounds,mechanical phenomenon
source,communicator
speaking,utterance
spear,weapon
speed,rate
spider,arachnid
spike,fruit
spoils,stolen property
spots,symptom
spouse,relative
spring,geological formation
squirrel,rodent
staff,force
stag,red deer
stands,support
statue,sculpture
status,state
stealing,felony
stepmother,stepparent
steps,stairway
stop,ending
stories,message
storyteller,speaker
strangers,intruder
straps,leather strip
straw,plant fiber
stream,body of water
string,cord
stripes,badge
stupidity,inability
sunrise,atmospheric phenomenon
suns,star
