motif_id,n_biomes_assigned,z_true,z_threshold_95,keep_in_filtered
k35a5,3,1.6679488597235734,2.828476905822754,True
k56a8a,3,0.3520050479044056,2.828476905822754,True
k56a2b,3,0.28283261734886367,2.828476905822754,True
k56a5b,3,2.2555801827173183,2.828476905822754,True
k56ab,3,-0.41468089147780923,2.828476905822754,True
k8b,3,-2.2534458300617564,2.828476905822754,True
k56a4a,2,-0.2915455981145686,2.828476905822754,True
k71,3,0.6361536502031123,2.828476905822754,True
k76d,2,-0.34000191507216365,2.828476905822754,True
k68,2,-0.5442708052239923,2.828476905822754,True
k87b,3,0.230963155226646,2.828476905822754,True
k80a3,1,0.953897666906267,2.828476905822754,True
k8c2,3,-0.09878793819465959,2.828476905822754,True
l110b,3,-0.23696928618235982,2.828476905822754,True
k89d,3,1.6460434676887035,2.828476905822754,True
k85c,2,-0.6014630064688886,2.828476905822754,True
l108g,1,0.11110852793327496,2.828476905822754,True
k9a,3,-0.08315296963805825,2.828476905822754,True
l108f,1,-0.26033185126913505,2.828476905822754,True
l119,2,1.458152108190452,2.828476905822754,True
l12,1,0.21990074327477788,2.828476905822754,True
k85a,3,1.215419486622861,2.828476905822754,True
k85b,2,0.08453660056810881,2.828476905822754,True
k90b,3,0.1356078719516328,2.828476905822754,True
l117,3,2.7707467947100595,2.828476905822754,True
l110c,3,1.6189080628309458,2.828476905822754,True
l115,2,-0.4255976295020281,2.828476905822754,True
l122a,3,0.4689566646233085,2.828476905822754,True
k70,3,-0.1487729493989954,2.828476905822754,True
l122,3,-0.2873213649245335,2.828476905822754,True
l121a,2,1.778770899316062,2.828476905822754,True
l127,3,1.3016261999565124,2.828476905822754,True
l15b1,3,-0.44780521840595133,2.828476905822754,True
l15e1,2,0.9557440463505247,2.828476905822754,True
l1d,1,0.4524086165614109,2.828476905822754,True
l120a,3,-0.8129167787583785,2.828476905822754,True
l121,3,2.7308984680662123,2.828476905822754,True
l1e,2,1.5368124851475304,2.828476905822754,True
l1c,2,1.052218653458272,2.828476905822754,True
l124,3,-0.7643007761025352,2.828476905822754,True
l33d,3,1.062242882724272,2.828476905822754,True
l26,3,0.8494265137991537,2.828476905822754,True
l23a,3,-0.4037898348755284,2.828476905822754,True
l39a,2,2.550980027984471,2.828476905822754,True
l1f,3,1.1866109622265975,2.828476905822754,True
l41b,3,2.1628699367635185,2.828476905822754,True
l27a,2,0.7649099157169374,2.828476905822754,True
l3a,1,-1.2997155945194963,2.828476905822754,True
l20,3,1.5841791479501977,2.828476905822754,True
l20a,3,2.9122566170212303,2.828476905822754,False
l42h,2,1.1569533437490256,2.828476905822754,True
l71,3,0.004481604507045939,2.828476905822754,True
l23b,3,-0.695728658406049,2.828476905822754,True
l5g,3,2.413276512509626,2.828476905822754,True
l7b,1,0.3947338636272059,2.828476905822754,True
l65c,3,0.3473180049759911,2.828476905822754,True
l42g2,3,1.0028023372594403,2.828476905822754,True
l60,3,0.9437208655689706,2.828476905822754,True
l57b,3,0.4765826346031043,2.828476905822754,True
l42j,1,-0.8005710841200038,2.828476905822754,True
l42i1,2,0.46590759674750437,2.828476905822754,True
l83,3,1.080526190294906,2.828476905822754,True
l91,1,0.09811854371050485,2.828476905822754,True
l42i,2,0.21143534997396674,2.828476905822754,True
l80,3,0.7982642469075116,2.828476905822754,True
l88,2,0.06876483144264159,2.828476905822754,True
l82,2,1.4690463718340958,2.828476905822754,True
l85d,3,0.7035095166592614,2.828476905822754,True
l5h,1,-0.081830657902585,2.828476905822754,True
l72e,3,-0.20346818465749641,2.828476905822754,True
m109c,3,1.170495795731717,2.828476905822754,True
m109d,1,-0.5034967419341947,2.828476905822754,True
l75,2,0.0723644823734654,2.828476905822754,True
m101,3,0.4701266265366349,2.828476905822754,True
m102,3,1.3178639853935323,2.828476905822754,True
m113a,2,-0.2077457056304113,2.828476905822754,True
l90a,3,-0.5334549336046185,2.828476905822754,True
m11b,3,0.7858993886905473,2.828476905822754,True
m106c,2,1.1345093540811637,2.828476905822754,True
l97,3,-0.07079370031562393,2.828476905822754,True
l9c,2,0.19675206884702337,2.828476905822754,True
m116b,2,-0.45016735594754004,2.828476905822754,True
m114d1,3,0.9636168093389914,2.828476905822754,True
m132,2,1.8672240604146926,2.828476905822754,True
m114e,2,-0.8011378153581087,2.828476905822754,True
m123b,2,0.6303089045920032,2.828476905822754,True
m114g,3,2.102907862547949,2.828476905822754,True
