tradition_oid,group_Berezkin,lat,lon,biome_wwf,ecoregion,bbox_half_deg_used,total_available_in_final_bbox,n_sampled
681.0,"Scandinavians, early written sources",59.35808181762695,12.607419967651367,Boreal Forests/Taiga,Scandinavian and Russian taiga,0.5,2272,50
682.0,Scotland,57.0,-4.0,Temperate Conifer Forests,Caledon conifer forests,0.5,33434,50
683.0,"Halcomelem,Sechelt,Squamish",49.24446105957031,-123.10220336914062,Temperate Conifer Forests,Puget lowland forests,0.5,680226,50
684.0,Selknam,-54.06386947631836,-68.1923828125,Temperate Broadleaf & Mixed Forests,Magellanic subpolar forests,0.5,2005,50
685.0,"Semang,Senoi",5.0,102.0,Tropical & Subtropical Moist Broadleaf Forests,Peninsular Malaysian rain forests,0.5,1535,50
686.0,Five Nations Iroquois,42.70000076293945,-76.0,Temperate Broadleaf & Mixed Forests,Allegheny Highlands forests,0.5,197553,50
687.0,Senufo,10.5,-5.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",West Sudanian savanna,1.0,238,50
688.0,Serbs,44.0,20.5,Temperate Broadleaf & Mixed Forests,Balkan mixed forests,0.5,4411,50
689.0,Seri,29.0,-112.5,Deserts & Xeric Shrublands,Sonoran desert,0.5,2603,50
690.0,Serrano,34.70000076293945,-117.0,Deserts & Xeric Shrublands,Mojave desert,0.5,54072,50
691.0,Setu,57.5,27.350000381469727,Temperate Broadleaf & Mixed Forests,Sarmatic mixed forests,0.5,2732,50
692.0,"Shan,Khampti,Ahom",22.0,98.0,Tropical & Subtropical Moist Broadleaf Forests,Northern Indochina subtropical forests,0.5,600,50
693.0,"Shasta,Chimariko",42.0,-122.80000305175781,Temperate Conifer Forests,Klamath-Siskiyou forests,0.5,49286,50
694.0,Shavante,-14.0,-51.70000076293945,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Cerrado,0.5,149,50
695.0,Shawnee,40.0,-83.0,Temperate Broadleaf & Mixed Forests,Southern Great Lakes forests,0.5,201221,50
