motif_id,ru_hits,en_hits
k161,степь,
k163,пустыню,
k165,леднике,
k17,пустыне,
k18,пустынный | степи | степные,
k18d,степи,
k19b,прерии,
k1c,яранге,canoe
k1e,яранге,
k1f,пустыня | степные | степь,
k2,пустыню,
k21,прерии | яранге | ярангу,
k23,степи | ярангу,
k24,джунгли | пустыне | пустыни | пустыню | степи | тундровые,
k24a,ярангу,
k24b,пустыне,
k25,айсбергом | джунгли | пустыне | пустыню | саванна | саванне | степи | степные | степь | тайге | тайги | тайгу | тундре | тундровые | яранге | яранги | ярангу,
k25a1,джунгли | степи | тайге | тундровые,
k25d,прерии,
k26,прерии | тундре | тундру | яранге | ярангу,
k27a,леднике,frosty | ice | snow
k27c,саванне,
k27d,саванне,
k27e,саванне | степь,
k27f,пустыне | пустыню | саванну | степи,
k27f1,пустыне | степь,
k27g,саванну | степи,
k27hh,джунгли | степи | степь,
k27l1,,frozen | ice
k27ll,,ice
k27n,джунгли | мерзлоты | степи | степные | тундровые,
k27n1,джунгли | мерзлоты | пустыню | степи | яранги | ярангу,
k27n3b,тундровые,
k27nn,джунгли | леднике | пустыню | степи,
k27p,степные,
k27p1,степи,
k27q,пустыни | пустыню | степи | степь | тайге,
k27q1,пустыню,
k27s,пустыне | степи | степь | тундровые | ярангу,
k27ss,степь,
k27u,ледника | пустыню | степи,
k27u2,степи,
k27v1,тайги,
k27v3,степь,
k27x3,джунгли | степи | яранги | ярангу,
k27x4,леднике | степь,
k27z,степи,
k27z1,пустыню | степной,
k27z3,степи,
k27z4,степи,
k27z7,пустыне | пустыню | степь,
k27z9,пустыне,
k27zz,пустыня,
k27zz1,пустыня,
k27zz2,пустыня,
k27zz3,степи,
k28,оазис | пустыне | пустынным | пустыню | саванну | степи | степь | тундре | яранге | ярангу,
k29a,джунглях | пустыне | пустыню | степи | тундровые,
k29d,степи,
k2a,степной | степь,
k30,тундровые | ярангу,
k30a,саванна,
k32,айсбергом | вельде | пустыне | пустыню | саванну | степи | степь | тайге | тайгой | тундре | тундровые | яранга | ярангу,
k32a,пустыне | степи | степь | тундре | тундровые | ярангу,
k32b,пустыне | пустыню,
k32b1,ярангу,
k32d,степи | степь,
k32e,степь,
k32g,пустыне | пустыню | степи | степь | тайгу | тундре | тундру,
k32g1,пустыне | степи | степная | степь | тайгу,
k32j,пустыню,
k33,пустыне | степи | степь,
k33a,пустыне | степи | степь,
k33a1,степи | степь,
